id,current_rating,potential_rating,height,weight,preferred_foot,skill_moves,value,wage,ball_control,strength,long_shots_level
207734,69,72,168,58,Left,3,1.600.000,5.6,71,65,Good
256691,65,67,177,71,Right,2,725,1.3,63,70,Fair
253169,57,65,181,66,Right,1,300,1.3,12,52,Fair
253493,58,73,181,74,Right,2,400,1.3,58,61,Fair
237678,78,88,194,95,Right,3,26.500.000,29,69,83,Fair
247080,60,73,168,68,Right,2,550,2,63,38,Good
240745,61,61,194,83,Right,2,325,1.9,60,80,Good
213777,71,76,180,73,Right,3,2.500.000,7.8,73,63,Excellent
236593,78,86,187,68,Left,4,28.500.000,9.9,86,56,Good
257080,60,72,183,82,Right,2,550,2.4,57,77,Good
252778,61,63,179,75,Right,3,350,1.3,64,52,Good
250745,62,69,189,83,Right,2,675,3.1,51,75,Good
252282,63,72,179,67,Left,2,900,1.3,62,58,Fair
203327,66,66,192,88,Right,3,650,11,64,90,Good
255547,49,60,186,77,Left,2,90,1.3,42,61,Fair
232883,69,69,175,64,Right,3,1.300.000,6,70,59,Good
228077,57,58,174,65,Right,2,170,2,61,64,Good
233791,73,83,187,82,Left,1,5.500.000,7.7,16,58,Fair
234054,71,71,185,78,Right,1,1.200.000,7.7,17,56,Fair
188038,72,72,186,83,Right,3,1.400.000,10.5,64,77,Good
246691,65,65,179,70,Right,2,550,2.6,51,68,Fair
226710,65,78,195,85,Right,3,1.600.000,5.7,69,75,Good
214661,66,69,172,77,Right,3,1.000.000,4.5,70,70,Good
237101,61,70,185,70,Right,2,625,1.3,60,72,Good
233841,70,80,182,80,Right,2,3.000.000,5.4,61,74,Fair
254585,64,78,165,65,Right,3,1.300.000,3.1,63,40,Good
253240,71,80,165,63,Right,4,3.700.000,8.2,75,57,Good
211033,69,73,183,90,Right,1,1.300.000,6.7,23,71,Fair
240196,66,72,184,74,Right,2,1.100.000,2.5,40,77,Good
225995,72,76,178,72,Right,3,2.800.000,8.7,71,65,Good
251787,63,63,179,73,Left,2,375,1.7,56,61,Fair
230294,81,81,188,83,Right,4,24.000.000,49,74,82,Excellent
250895,54,67,179,75,Right,2,220,1.3,61,47,Fair
252001,66,80,185,72,Left,2,1.700.000,1.9,68,75,Fair
219950,66,70,187,84,Right,2,1.000.000,1.3,56,82,Good
233512,68,69,181,78,Left,2,1.000.000,5.2,62,71,Good
215070,71,73,183,76,Right,2,1.800.000,7.5,47,74,Good
243610,63,71,186,82,Right,1,825,1.3,12,70,Fair
236710,62,73,170,60,Left,3,775,1.7,65,53,Good
237802,62,65,190,83,Right,1,350,1.5,11,62,Fair
221893,68,71,179,72,Right,2,1.300.000,4.8,60,75,Fair
246557,63,66,174,68,Right,2,525,1.7,57,66,Fair
225079,61,61,167,62,Left,3,300,3.4,64,40,Good
258549,61,71,188,82,Right,2,625,1.3,63,74,Fair
199015,57,57,191,81,Right,2,130,1.3,56,68,Good
215565,71,77,193,84,Right,2,2.400.000,31,66,83,Fair
243305,60,70,178,64,Left,2,475,1.3,61,59,Good
241338,53,56,178,74,Left,2,100,1.5,38,55,Fair
257716,51,63,177,70,Right,2,130,1.4,53,47,Fair
252514,56,62,183,81,Right,2,200,1.3,59,72,Good
258119,54,66,180,73,Right,2,220,1.9,51,75,Good
211875,61,63,193,85,Right,2,300,1.3,57,83,Good
246107,65,84,168,66,Right,4,1.600.000,1.6,69,43,Good
244993,67,72,177,72,Right,2,1.300.000,3.7,70,70,Good
251292,70,76,192,85,Right,1,1.800.000,8.1,18,68,Fair
195036,66,66,175,71,Right,2,775,3.5,63,64,Good
254090,63,74,180,68,Right,2,900,1.6,63,64,Good
252847,64,72,194,85,Left,1,1.000.000,1.3,13,49,Fair
199916,64,65,191,88,Right,2,500,3.4,54,82,Good
247346,55,68,193,88,Right,1,250,1.3,15,49,Fair
259358,51,68,174,71,Right,2,130,1.3,43,58,Fair
224668,61,61,172,65,Left,3,180,2.1,61,63,Good
219792,79,82,183,73,Right,3,19.000.000,24,81,67,Good
255906,60,76,189,78,Right,2,550,1.3,54,73,Fair
229324,62,66,178,78,Right,2,475,1.8,60,60,Fair
218880,68,74,186,78,Right,2,1.600.000,6.2,62,77,Fair
221714,75,82,177,79,Right,3,10.500.000,40,71,88,Good
216467,65,69,165,60,Left,3,900,2.9,68,33,Good
240207,65,69,184,74,Left,2,825,2.7,64,60,Good
224146,69,69,179,70,Right,3,1.300.000,4.9,71,70,Good
242390,60,70,190,80,Right,3,500,1.3,64,78,Good
247468,66,73,185,74,Right,2,1.400.000,1.3,62,80,Good
222991,67,67,169,66,Right,3,875,4,66,61,Good
232568,64,64,179,76,Right,2,170,2.2,54,74,Fair
254244,58,78,183,77,Right,3,525,1.3,58,52,Good
177571,69,69,186,81,Right,2,600,5.9,60,72,Good
253581,68,68,169,67,Right,4,1.100.000,6.4,69,68,Excellent
256279,61,61,189,86,Right,2,250,1.3,45,72,Fair
188829,80,80,184,77,Right,2,15.500.000,43,72,76,Good
183336,68,68,186,84,Left,3,1.100.000,3.3,68,72,Excellent
240657,55,69,191,75,Right,1,250,1.9,19,48,Fair
206467,80,81,181,79,Right,4,22.000.000,44,80,75,Excellent
202977,62,64,187,72,Right,2,375,1.3,60,75,Good
255005,64,69,173,70,Left,2,800,2.3,65,66,Good
220105,61,66,177,74,Right,3,425,1.5,66,57,Good
209268,62,62,170,66,Left,3,300,1.9,63,63,Good
245855,65,73,177,70,Left,3,1.400.000,1.9,67,67,Good
258764,63,75,174,69,Right,3,1.100.000,1.3,60,47,Good
199238,70,70,185,78,Right,2,1.000.000,4.4,56,87,Good
212127,76,76,181,66,Right,3,6.500.000,24.5,78,39,Excellent
227793,54,55,175,73,Right,2,120,4,59,61,Good
203736,74,74,185,88,Right,3,3.900.000,20.5,71,80,Good
255156,55,67,175,75,Right,2,275,1.3,52,63,Good
177971,61,61,183,77,Left,2,80,1.3,63,71,Good
253981,53,68,187,80,Right,2,200,1.3,50,74,Fair
240587,63,66,174,63,Right,3,550,6.3,66,31,Good
152916,76,76,174,72,Left,4,2.200.000,14.5,80,66,Excellent
199812,66,67,189,80,Right,1,600,3.2,26,58,Fair
232342,67,67,179,73,Left,3,875,5.2,76,66,Excellent
252943,63,76,173,68,Right,3,1.000.000,1.3,64,56,Good
235487,58,65,174,65,Right,2,350,2.2,47,66,Fair
253651,69,69,178,74,Left,2,1.100.000,6.9,55,35,Fair
190330,67,67,187,84,Right,3,900,5.4,68,73,Good
256453,62,78,188,83,Right,3,900,1.3,65,73,Good
237140,61,64,184,77,Right,3,400,1.3,65,65,Good
230685,74,74,180,73,Left,3,4.000.000,44,75,61,Excellent
169345,73,73,179,73,Left,3,1.400.000,13.5,72,66,Good
245785,69,73,184,80,Right,2,1.600.000,4.4,65,82,Fair
242040,62,71,183,74,Right,3,800,1.3,66,62,Good
223553,69,69,169,68,Right,3,525,6,70,64,Good
247612,51,71,178,61,Left,2,140,1.3,53,35,Good
198350,70,74,188,72,Right,1,1.500.000,15.5,30,68,Fair
233800,71,78,180,75,Left,3,3.200.000,2.3,62,67,Good
232712,63,72,171,68,Right,3,1.000.000,1.6,61,79,Good
237510,70,71,178,80,Right,2,1.300.000,8.2,60,81,Fair
201971,73,73,173,70,Left,3,1.300.000,9.9,75,66,Good
185132,77,77,187,79,Right,2,7.500.000,18,76,87,Excellent
241396,59,71,185,73,Right,2,500,4.3,58,68,Good
254897,63,68,188,80,Right,2,575,1.5,51,84,Fair
255785,52,60,176,75,Right,2,160,1.9,60,70,Good
219911,74,74,188,88,Right,2,3.100.000,12.5,34,84,Fair
252040,64,76,180,66,Right,4,1.300.000,1.3,69,56,Good
204620,59,59,186,80,Right,2,210,1.6,61,72,Good
257242,66,71,174,71,Left,2,1.100.000,3.6,61,59,Good
231094,69,69,178,66,Right,5,1.300.000,7.9,70,61,Good
236751,66,66,192,88,Right,2,675,1.3,59,83,Good
243651,60,71,183,65,Right,3,500,1.3,61,59,Good
222342,67,67,196,92,Right,1,600,3.1,16,78,Fair
165736,64,64,196,87,Right,2,250,2.7,47,90,Fair
256900,62,75,187,75,Right,2,850,2.8,64,74,Good
188350,85,85,180,71,Right,4,40.000.000,85,87,66,Excellent
236301,70,76,188,88,Right,1,1.800.000,7,10,55,Fair
257612,63,84,184,79,Right,2,1.300.000,1.3,61,63,Good
181872,83,83,180,75,Right,3,20.000.000,110,82,83,Excellent
243201,64,75,187,80,Right,1,1.000.000,1.3,31,41,Fair
180760,58,58,181,75,Right,1,4,1.3,15,31,Fair
257307,62,73,170,62,Right,3,775,1.6,65,52,Good
243714,63,76,190,76,Right,2,1.000.000,3,62,71,Fair
258508,52,71,178,68,Right,3,180,1.3,54,39,Good
141286,71,71,189,88,Right,2,475,6.5,70,88,Excellent
218746,71,78,170,65,Right,3,3.300.000,4.4,76,59,Excellent
236244,65,74,183,69,Right,2,1.300.000,2.2,62,67,Fair
234279,70,70,170,72,Right,3,1.300.000,5.1,61,66,Fair
241379,59,73,178,75,Left,3,500,2,66,57,Good
243344,61,68,195,85,Right,2,550,1.3,43,85,Fair
185427,73,73,193,90,Right,1,,,23,71,Fair
252555,52,70,173,65,Right,2,180,1.3,48,58,Fair
255290,60,75,186,80,Left,1,450,1.3,15,60,Fair
233046,61,70,183,78,Right,2,625,1.3,60,70,Fair
234783,64,70,180,77,Left,2,775,2,60,70,Good
256516,64,78,181,67,Right,4,1.200.000,1.3,66,60,Good
237005,67,73,176,67,Right,2,1.300.000,2.5,65,57,Good
214765,69,71,185,78,Right,2,1.300.000,4.6,59,82,Good
240138,67,70,179,76,Right,2,1.100.000,4.8,68,73,Fair
216758,66,66,174,63,Right,2,400,4,53,52,Fair
211567,74,75,179,74,Right,3,4.000.000,9.9,70,68,Good
232207,68,76,190,88,Right,2,2.400.000,15,66,77,Good
251729,61,61,178,70,Right,3,,,62,61,Good
230390,71,71,192,85,Right,2,1.600.000,5.4,57,90,Good
203809,66,68,185,88,Left,2,800,2.7,53,86,Fair
250991,64,71,180,74,Left,2,1.000.000,1.3,65,60,Good
195427,65,66,191,79,Right,2,775,7,64,81,Good
200726,80,81,187,78,Left,1,14.500.000,40,23,55,Fair
256146,60,71,184,76,Right,2,450,1.6,61,68,Fair
223046,69,71,184,77,Right,2,1.300.000,7.1,60,69,Fair
208316,63,63,182,70,Right,2,425,1.5,62,63,Good
245290,64,75,179,78,Right,2,1.100.000,3.9,57,69,Fair
246845,69,69,177,73,Right,3,1.300.000,9,71,64,Good
190625,60,60,168,64,Left,2,220,1.7,59,54,Good
233945,56,60,182,72,Right,2,170,1.5,55,68,Good
205524,70,70,183,59,Left,3,1.300.000,5.1,71,60,Good
253344,66,73,182,72,Left,2,1.400.000,3.5,70,71,Fair
237681,75,89,173,67,Left,4,12.000.000,55,81,52,Good
230144,71,79,175,68,Left,3,3.800.000,15,76,52,Good
256392,49,65,177,72,Right,2,110,1.3,38,55,Good
236993,69,72,175,79,Right,3,1.500.000,3.3,65,68,Good
259067,63,70,188,80,Right,1,750,1.4,19,57,Fair
184518,69,69,186,83,Right,3,1.300.000,7,64,71,Good
211619,67,68,186,81,Right,2,850,4.5,52,80,Fair
220847,68,71,182,77,Right,3,1.400.000,5.3,72,55,Good
180808,74,74,182,78,Right,2,1.800.000,12.5,70,75,Good
202035,72,72,165,60,Right,3,2.100.000,6,74,58,Good
255947,62,70,175,73,Right,2,775,1.3,56,64,Fair
192566,63,63,178,77,Right,3,425,3.3,64,63,Good
251007,56,66,185,76,Left,2,275,1.3,41,69,Fair
189280,78,78,175,73,Right,3,11.000.000,45,77,70,Good
213274,66,67,183,83,Right,1,575,3.3,23,58,Fair
211249,67,67,182,77,Right,2,600,4.8,61,84,Good
247429,59,81,189,75,Right,2,600,1.3,39,70,Fair
208592,69,71,175,66,Right,3,1.400.000,3.3,67,59,Good
243939,64,69,178,65,Right,2,700,1.3,63,68,Good
240616,66,75,183,72,Right,2,1.600.000,2.4,60,66,Good
183377,67,67,188,86,Right,2,750,1.6,55,82,Fair
228827,69,77,174,70,Right,2,2.800.000,3.1,70,72,Good
200458,84,85,178,74,Left,3,41.000.000,100,83,69,Excellent
202465,65,65,173,66,Right,3,650,4.9,63,67,Good
254205,63,63,170,69,Left,3,450,3.1,52,67,Good
257583,58,68,188,77,Left,1,325,1.3,12,47,Fair
230847,61,72,180,70,Right,2,650,1.9,58,48,Good
193727,59,59,181,75,Right,3,200,1.3,56,71,Good
225346,71,71,177,79,Right,3,1.800.000,11,73,65,Good
187334,67,67,187,75,Right,2,775,2.6,62,77,Good
210008,81,82,192,80,Left,3,27.500.000,75,84,82,Excellent
246668,64,64,193,85,Right,2,450,1.3,56,78,Fair
212035,73,73,173,71,Right,4,2.900.000,13.5,74,56,Excellent
244655,66,72,176,67,Right,3,1.300.000,6.4,66,36,Good
246392,52,69,178,68,Right,2,190,3.7,46,48,Good
222179,60,60,187,77,Right,2,180,1.8,50,73,Fair
203624,71,71,182,76,Right,2,1.300.000,11.5,55,75,Good
255044,56,57,193,86,Left,2,130,1.3,42,81,Fair
257079,60,73,186,80,Right,2,525,1.6,60,64,Good
233292,71,74,181,79,Right,2,2.000.000,11,57,85,Fair
251904,55,69,184,79,Left,1,220,1.3,10,38,Fair
198868,70,70,187,78,Right,2,1.300.000,26,53,80,Fair
239735,58,68,187,71,Right,2,375,1.3,57,54,Fair
244205,69,77,172,71,Left,2,2.900.000,5.8,74,72,Excellent
186876,68,68,190,70,Right,2,750,2.8,65,82,Good
225716,61,61,178,68,Left,2,150,1.9,61,58,Good
214948,71,74,185,77,Right,2,2.000.000,10.5,58,74,Fair
241007,65,74,185,75,Left,2,1.300.000,3.4,64,71,Fair
234107,65,75,180,72,Right,2,1.400.000,3.4,69,67,Good
228124,72,72,187,83,Right,2,1.800.000,6,48,89,Good
255414,60,68,179,71,Right,3,500,1.3,64,48,Good
257429,63,63,179,76,Right,2,375,2.2,64,67,Good
126883,66,66,181,80,Right,3,375,3.6,70,66,Good
202873,73,73,190,90,Right,1,1.900.000,14,18,76,Fair
234412,60,63,188,70,Right,2,300,1.7,59,65,Good
192970,66,66,183,76,Right,4,750,4.1,66,65,Good
206563,65,66,164,70,Right,3,750,2,69,57,Good
258733,59,67,176,65,Left,2,425,1.6,53,53,Fair
225203,68,75,189,83,Right,1,1.900.000,2.5,25,37,Fair
209696,63,64,170,71,Left,3,500,3.4,70,59,Good
208984,65,65,182,75,Right,2,625,1.9,63,62,Good
212170,67,71,187,73,Right,3,1.200.000,1.3,66,56,Good
258699,61,72,175,72,Right,2,650,2.1,67,50,Good
227394,73,74,183,80,Left,3,3.200.000,11,69,80,Good
203331,65,65,173,72,Right,3,675,3.9,64,52,Good
228061,61,61,175,72,Right,2,250,2.2,53,61,Good
257096,61,77,184,76,Right,3,775,1.3,68,51,Good
250753,63,80,198,91,Right,1,1.000.000,1.3,11,43,Fair
231240,72,79,169,64,Left,4,4.300.000,12.5,77,34,Good
243485,53,64,175,69,Right,2,190,1.9,50,57,Good
225653,75,80,175,68,Right,3,7.500.000,13.5,74,71,Good
258363,53,68,182,68,Left,2,180,1.3,35,63,Fair
221610,73,73,188,81,Right,1,,,20,36,Fair
202170,68,68,188,91,Right,2,750,2.9,60,86,Fair
254710,51,60,173,68,Left,2,120,2,51,53,Good
248733,53,69,167,65,Left,2,210,1.3,38,39,Fair
255802,53,67,175,70,Right,2,200,1.3,62,47,Good
189795,74,74,190,81,Right,3,3.100.000,15,69,83,Good
250790,61,82,177,75,Right,3,900,2,64,63,Good
257055,61,69,183,77,Right,2,625,1.3,59,56,Fair
251882,58,74,188,83,Right,1,425,1.3,10,36,Fair
243446,66,78,170,65,Right,3,1.900.000,3.3,66,57,Good
244383,74,81,187,83,Right,2,6.500.000,12,48,80,Fair
244679,56,67,184,70,Right,2,275,1.3,47,60,Fair
241181,61,71,170,66,Right,2,650,3.4,62,56,Good
190824,76,76,177,74,Right,3,6.500.000,49,75,68,Good
255592,63,69,170,61,Right,3,675,1.3,66,36,Good
252257,56,66,193,75,Right,1,250,1.3,15,52,Fair
188844,69,69,184,71,Right,2,600,4.3,59,75,Fair
256214,59,69,182,78,Right,2,425,1.3,57,69,Good
254229,66,66,184,74,Right,3,650,4,69,80,Fair
241928,72,83,183,73,Right,3,4.500.000,11,78,69,Good
245438,63,69,177,75,Right,2,700,4.4,62,67,Good
238108,62,62,183,77,Right,2,275,2.1,59,71,Fair
211265,70,70,176,71,Left,3,650,6.4,75,71,Excellent
198147,66,66,177,74,Right,2,625,3.9,66,64,Fair
226116,63,69,193,87,Left,2,625,3,51,80,Fair
190577,77,77,168,68,Right,3,7.500.000,8.7,76,59,Excellent
232505,65,65,188,85,Right,1,20,1.3,15,60,Fair
171831,67,67,186,86,Right,2,575,2.5,65,76,Fair
229349,65,72,180,64,Left,2,1.200.000,2.2,52,73,Fair
251181,71,79,188,88,Left,2,3.500.000,7.7,67,80,Good
257956,63,72,170,67,Left,3,1.000.000,2.5,66,47,Good
224081,77,83,178,72,Right,3,14.000.000,65,72,81,Good
223744,64,64,180,80,Right,3,550,1.4,62,41,Good
198517,68,68,174,69,Right,3,900,2.1,65,68,Good
241882,60,63,190,83,Right,1,220,1.3,21,68,Fair
230168,82,82,190,85,Right,1,13.500.000,29,21,79,Fair
234982,65,72,190,75,Right,2,1.300.000,2.8,63,70,Good
254383,63,63,173,71,Right,3,425,3.3,70,65,Good
246097,63,71,184,77,Right,2,900,4,41,62,Fair
227584,69,70,179,73,Left,2,1.300.000,5.9,69,61,Good
255341,67,75,177,72,Right,3,2.100.000,3.9,73,63,Good
252484,64,71,181,73,Left,3,1.100.000,1.9,66,70,Good
257686,48,54,176,70,Right,2,60,1.3,28,46,Fair
193422,71,71,185,72,Right,2,1.700.000,16.5,70,73,Good
258573,65,70,185,75,Left,2,875,1.5,54,66,Fair
234202,70,77,170,73,Right,3,2.900.000,4.8,74,64,Good
254803,59,77,193,72,Right,1,450,1.3,19,63,Fair
228221,69,73,189,76,Right,1,1.300.000,3,20,60,Fair
219985,80,80,187,81,Right,4,16.500.000,85,83,72,Excellent
255711,57,64,175,72,Right,2,300,1.8,61,60,Good
248820,66,82,173,67,Right,3,2.000.000,7.7,70,43,Fair
258123,63,73,181,81,Right,2,1.000.000,3.1,65,66,Good
240143,53,63,188,85,Right,2,190,1.3,54,58,Good
148526,75,75,187,80,Right,1,130,4.7,15,69,Fair
183422,71,71,180,77,Right,3,1.300.000,11,72,66,Excellent
247686,56,67,188,77,Right,2,300,1.6,54,63,Good
226395,66,66,177,75,Right,3,825,4.5,68,60,Good
253295,62,72,175,70,Right,2,800,2.1,63,69,Good
197031,72,75,188,79,Right,3,2.800.000,18,72,73,Good
202330,75,75,173,66,Left,3,4.900.000,12,70,56,Good
254550,53,70,188,82,Right,1,190,1.3,18,44,Fair
232786,69,75,175,66,Right,3,2.000.000,4.9,70,55,Good
248573,69,81,183,77,Right,3,3.000.000,14.5,72,72,Good
250840,52,69,187,79,Right,2,170,1.3,30,71,Fair
230241,77,77,165,62,Left,2,8.500.000,16,69,65,Good
256097,61,75,183,75,Left,3,650,1.3,43,58,Fair
251752,61,83,192,78,Right,1,850,1.3,16,40,Fair
259362,57,70,183,75,Right,1,325,1.3,14,53,Fair
223197,75,81,187,78,Right,3,8.000.000,21.5,76,83,Excellent
245341,65,79,180,67,Right,2,1.500.000,1.3,68,59,Good
221000,72,72,180,76,Right,3,2.100.000,19.5,74,77,Excellent
240513,64,75,187,75,Left,3,1.200.000,2.2,66,73,Excellent
216373,78,78,176,68,Right,3,8.500.000,17.5,74,64,Good
203872,75,75,168,71,Right,4,3.100.000,13.5,75,62,Good
235413,68,80,193,78,Right,1,2.200.000,7.4,28,61,Fair
175608,70,70,176,78,Right,2,,,68,73,Good
192663,76,76,194,93,Right,2,5.500.000,23.5,68,91,Good
207562,76,76,190,86,Right,2,6.500.000,27,74,80,Good
213171,65,65,192,86,Right,2,550,2,53,90,Fair
208697,60,65,185,77,Right,1,250,1.3,27,60,Fair
189490,66,66,174,70,Left,3,375,1.3,64,68,Good
137494,75,75,170,70,Left,3,2.200.000,9.9,74,76,Excellent
238734,63,73,190,83,Right,1,825,1.3,18,67,Fair
227838,64,64,175,83,Right,3,550,3.9,62,73,Good
183567,70,70,193,88,Right,1,775,3.9,30,69,Fair
177320,69,69,190,87,Right,2,800,5.5,66,85,Good
207427,64,64,191,91,Right,1,350,1.3,38,77,Fair
242191,60,71,184,70,Right,3,500,3.2,64,62,Good
211009,72,76,188,76,Right,2,2.600.000,24.5,59,74,Good
244946,65,71,177,70,Right,2,900,3.4,66,62,Fair
247393,60,80,167,59,Right,2,625,1.4,61,46,Good
232293,79,87,185,78,Right,3,35.500.000,49,75,77,Excellent
253780,60,63,169,62,Right,3,300,2.3,57,52,Good
258436,60,68,189,80,Right,2,475,1.3,37,72,Fair
225106,70,80,192,75,Right,2,3.000.000,12,66,75,Good
239125,60,73,180,70,Right,3,550,1.3,60,62,Good
244415,63,64,186,79,Right,2,400,1.8,47,74,Fair
199490,68,68,170,69,Right,3,1.100.000,4.5,64,72,Good
235805,78,84,175,70,Right,4,20.500.000,60,81,57,Excellent
203464,66,68,188,84,Right,2,825,2.2,58,73,Fair
255204,61,61,173,70,Right,2,300,3,60,57,Good
237838,62,68,183,72,Right,2,550,1.3,55,64,Fair
257393,52,71,187,72,Right,2,170,1.3,48,70,Good
233178,70,76,168,62,Left,3,2.300.000,5.5,74,38,Good
231145,64,70,174,66,Right,3,825,1.3,62,57,Good
212625,70,74,183,74,Right,3,2.100.000,6.7,73,75,Good
239575,69,77,194,91,Right,2,2.600.000,13,62,91,Fair
243780,74,84,173,68,Left,4,8.000.000,14,78,46,Excellent
246078,62,76,182,78,Left,2,775,1.3,56,73,Fair
213937,71,73,174,69,Left,3,2.100.000,5.9,70,62,Excellent
220754,67,69,188,86,Left,2,1.000.000,3.1,60,80,Fair
221846,65,65,179,71,Right,2,625,2.9,57,65,Fair
254946,59,60,178,74,Left,2,220,2.2,60,50,Fair
257669,57,67,190,77,Right,1,300,1.3,18,53,Fair
255654,66,82,179,69,Right,2,2.000.000,5.8,60,61,Fair
203034,65,65,190,84,Left,1,450,5,23,84,Fair
202849,77,78,199,96,Right,2,9.500.000,42,57,90,Good
257106,49,65,176,76,Right,2,110,1.3,49,56,Good
230938,77,82,183,76,Right,3,14.500.000,29,79,85,Excellent
252304,66,75,180,75,Right,2,1.700.000,2.6,63,73,Good
232905,75,75,176,68,Right,4,5.500.000,15.5,73,66,Good
258709,57,71,192,82,Right,2,350,1.7,54,71,Good
244680,59,68,175,68,Right,3,450,1.3,64,29,Good
215725,74,81,183,70,Left,2,7.000.000,18,74,59,Good
245992,71,86,170,66,Right,3,4.000.000,22.5,74,35,Good
236045,73,76,180,73,Left,3,3.300.000,21.5,73,74,Good
234078,72,80,178,78,Right,3,4.500.000,13.5,78,68,Good
252754,50,60,178,68,Right,2,90,1.3,42,49,Fair
206109,71,72,177,78,Right,3,1.900.000,11,74,73,Good
255091,60,68,168,67,Right,2,500,2.1,65,40,Good
225669,73,77,189,78,Right,3,3.500.000,16.5,71,79,Good
258359,60,68,183,77,Right,2,500,1.3,63,61,Good
220191,65,68,193,91,Right,2,750,2.2,56,90,Fair
238958,67,79,188,76,Right,3,2.200.000,15.5,69,71,Good
210527,68,68,169,65,Right,2,900,2.4,65,63,Fair
220938,70,70,170,65,Left,4,1.500.000,5.7,72,60,Good
240339,54,64,185,79,Right,1,180,1.3,10,44,Fair
248709,57,70,190,78,Right,1,325,1.3,15,60,Fair
255838,58,75,190,80,Right,2,450,1.8,44,67,Good
251528,68,76,182,69,Left,2,2.300.000,3.7,57,61,Fair
247106,70,83,169,65,Left,3,3.200.000,4.5,70,56,Good
184467,63,63,186,78,Right,3,425,3.6,65,66,Good
224428,72,75,182,70,Right,3,2.800.000,4.6,70,77,Excellent
259118,53,57,191,83,Right,1,90,1.3,35,52,Fair
242754,56,70,170,60,Right,2,325,2.2,61,33,Good
214134,59,64,183,79,Left,2,275,2.5,49,72,Fair
240769,56,66,173,63,Right,3,300,2.2,57,41,Good
223247,71,71,173,75,Right,3,1.300.000,8.2,69,79,Good
251482,63,74,177,70,Right,3,1.000.000,1.3,59,58,Fair
188917,66,66,183,77,Left,2,700,2.2,62,70,Good
230191,74,74,191,80,Right,1,2.700.000,11,19,59,Fair
169451,63,63,170,64,Right,3,210,1.6,63,57,Good
194934,72,72,179,72,Right,1,1.400.000,5.4,20,58,Fair
255992,62,66,177,78,Right,2,475,2.2,64,51,Fair
232456,62,62,183,78,Right,2,300,1.3,56,79,Fair
251178,60,70,182,72,Right,2,475,1.3,34,73,Fair
190424,68,68,178,67,Right,3,900,3.1,71,58,Good
253145,65,75,189,83,Left,2,1.300.000,3.1,62,80,Good
226045,76,77,176,73,Left,3,8.000.000,33,74,66,Good
184037,75,75,191,77,Right,2,4.100.000,38,67,77,Fair
234994,68,72,192,84,Left,1,1.200.000,3,28,66,Fair
179847,77,77,195,85,Right,2,4.500.000,39,70,83,Fair
223752,66,75,180,70,Right,2,1.600.000,3.5,52,81,Good
222840,72,78,185,70,Left,3,3.100.000,16,65,77,Good
242241,57,69,180,78,Right,2,350,1.3,61,59,Fair
214421,72,72,178,70,Left,4,2.100.000,11,70,67,Excellent
237341,62,73,190,72,Right,2,750,1.3,52,72,Fair
230484,71,71,176,73,Right,4,2.000.000,11,75,64,Excellent
251197,62,66,173,67,Left,2,525,2.7,61,48,Good
219643,63,67,186,85,Right,1,500,1.4,18,61,Fair
232513,66,66,166,60,Right,2,775,3.2,65,35,Good
253000,54,72,175,67,Right,2,250,1.3,59,50,Good
211273,64,64,174,74,Right,3,550,3.5,67,56,Good
242611,62,72,190,71,Left,3,800,1.3,65,71,Good
