id,rating,reput,worth,wage,ht_cm,preferred_foot,work_rate,pace,shooting,finishing,dribbling
252723,67,1,1078,11.359,173,Right,Medium,77,64,64,66
254518,55,1,1021,10,69 in,Right,Medium,64,52,53,57
240786,61,1,1033,10.815,187,Left,High,75,54,54,58
247038,49,1,1008,10.082,184,Right,Medium,47,38,36,53
221486,66,1,1071,10,190,Left,Low,55,35,25,45
262338,63,1,1078,10.815,179,Right,Medium,69,57,59,62
243004,61,1,1031,10,187,Right,Medium,64,26,21,35
213661,80,2,3020,61.373,187,Right,Low,65,31,36,66
245021,71,1,1280,13.534,74 in,Right,Medium,49,53,40,61
254130,57,1,1028,10.272,67 in,Right,High,67,51,52,62
201041,71,1,1114,14.621,182,Left,Medium,73,40,28,72
261277,60,1,1024,10,180,Right,Medium,73,48,48,51
207887,67,1,1086,12.99,71 in,Left,Medium,70,63,62,71
233486,78,1,2370,23.863,74 in,Right,Medium,66,25,19,52
260235,61,1,1057,10.272,176,Right,Medium,73,52,48,61
224231,60,1,1019,10.815,182,Right,High,50,52,52,63
219755,70,1,1093,14.077,184,Left,High,67,64,59,70
245354,70,1,1259,14.077,179,Left,High,69,64,63,74
189561,72,1,1165,20.601,186,Right,Medium,79,69,71,72
155355,71,2,1107,14.077,180,Right,High,70,61,60,76
244625,71,1,1259,12.99,176,Right,Medium,75,57,51,71
202371,77,2,1685,35.823,191,Right,High,73,74,70,75
237203,68,1,1179,11.359,72 in,Right,High,68,62,62,62
198469,56,1,1006,10.027,69 in,Right,Medium,50,50,49,50
216189,80,2,2334,27.124,69 in,Right,High,82,64,56,76
238269,67,1,1100,10.815,70 in,Left,Medium,75,32,32,63
216134,66,1,1044,11.903,175,Right,High,73,37,36,65
204311,81,2,3164,50.501,75 in,Right,Medium,65,51,47,50
241567,63,1,1071,10.815,184,Right,Low,52,31,28,42
248245,65,1,1071,10.272,184,Right,Medium,70,52,51,62
227511,69,1,1187,12.446,186,Right,Medium,57,38,39,54
258717,58,1,1033,10.245,185,Right,Medium,75,55,57,59
204215,71,1,1122,23.319,185,Left,High,75,69,64,71
212450,63,1,1035,10.272,72 in,Right,High,83,59,63,61
237329,75,1,1901,23.863,186,Right,Medium,76,72,76,78
198849,68,1,1071,12.446,184,Right,Medium,45,61,50,56
257972,54,1,1019,10.815,187,Left,Medium,67,43,41,58
248005,66,1,1071,10.815,192,Right,Medium,58,47,43,46
183945,64,1,1033,10.272,190,Right,Medium,87,59,60,60
246431,70,1,1280,22.775,180,Right,Medium,83,62,65,72
214777,70,1,1114,14.077,182,Right,Medium,69,69,70,67
220651,83,2,4319,51.588,175,Left,High,78,71,70,84
237034,75,1,1648,33.648,69 in,Right,High,83,75,78,75
220782,73,1,1273,15.708,177,Right,Medium,68,61,56,66
245554,63,1,1071,10.272,177,Right,Medium,61,41,37,60
243595,59,1,1033,10.272,186,Right,Medium,58,40,37,53
232130,66,1,1062,10,178,Right,Medium,73,63,69,67
246255,70,1,1237,20.057,70 in,Right,Medium,69,54,50,65
261413,64,1,1058,10.272,186,Right,Medium,75,44,48,62
238091,66,1,1129,10.272,72 in,Right,High,71,50,43,59
246005,65,1,1114,10.815,180,Left,Medium,72,30,27,61
260872,60,1,1037,10.027,174,Left,Medium,64,42,36,64
200630,75,1,1396,35.823,175,Right,High,85,71,72,77
232596,62,1,1022,10.082,70 in,Right,Medium,63,24,20,48
262903,61,1,1044,10.815,74 in,Right,Medium,61,28,22,49
218585,60,1,1016,10.054,71 in,Left,High,63,40,32,52
256008,68,1,1215,11.903,75 in,Left,Medium,63,35,32,61
252849,60,1,1040,10.027,66 in,Left,Medium,60,29,23,59
257091,64,1,1086,10.815,76 in,Right,High,58,40,39,55
248230,66,1,1114,11.903,70 in,Left,Medium,84,56,55,66
261777,60,1,1039,10.245,68 in,Right,Medium,72,51,52,69
173208,76,2,1172,18.426,72 in,Left,Medium,73,61,56,72
215088,60,1,1022,10.815,77 in,Right,Medium,67,58,59,54
258005,53,1,1016,10,183,Left,Medium,70,47,44,55
239049,70,1,1215,17.883,67 in,Right,Medium,72,42,33,63
262572,53,1,1015,10.272,70 in,Right,Medium,69,49,51,56
216282,71,1,1165,17.339,70 in,Right,Medium,81,41,41,50
223053,78,1,1648,24.95,66 in,Left,High,81,74,77,82
235626,64,1,1040,10.815,175,Left,Medium,69,40,26,54
221277,61,1,1026,10.272,69 in,Left,Medium,67,55,53,58
240033,74,1,1302,10.19,179,Right,Medium,77,39,29,67
261448,54,1,1017,10.054,168,Right,Medium,71,53,55,59
259335,60,1,1044,11.359,187,Right,Medium,61,60,66,52
190139,68,1,1086,12.446,69 in,Right,High,77,67,66,71
243793,69,1,1150,12.446,172,Left,High,84,64,63,72
259331,66,1,1150,11.903,183,Right,Medium,66,59,61,69
218534,74,1,1302,26.037,72 in,Right,High,79,73,77,79
253903,66,1,1136,10,165,Right,High,68,62,60,67
258306,66,1,1093,10.815,175,Right,High,86,64,69,73
262260,63,1,1078,14.077,174,Right,Medium,66,51,51,58
263278,58,1,1014,10.272,186,Right,Medium,66,56,57,53
258626,66,1,1086,14.621,185,Left,Medium,65,68,67,64
251486,65,1,1066,10.815,74 in,Left,Medium,63,59,55,66
262704,60,1,1019,10.272,192,Right,Medium,53,45,41,28
224371,78,1,2514,40.715,69 in,Left,High,76,74,78,80
258947,59,1,1039,10.815,184,Left,Medium,65,57,58,56
227604,67,1,1107,12.99,75 in,Right,Medium,72,65,66,62
240812,64,1,1086,10.815,184,Right,Medium,66,54,52,61
252535,59,1,1015,11.903,178,Right,Medium,78,56,59,63
235888,73,1,1316,17.883,73 in,Right,High,73,74,75,73
173671,69,1,1031,15.165,73 in,Right,Medium,34,37,35,47
223874,77,2,1973,30.386,172,Right,Medium,69,67,63,75
262125,49,1,1007,10,183,Right,Medium,60,43,43,53
253553,62,1,1064,10,69 in,Right,High,64,56,51,70
202401,68,1,1055,12.99,74 in,Right,Medium,62,67,65,63
260818,62,1,1040,10.815,191,Right,High,70,33,33,44
253251,70,1,1237,14.077,72 in,Right,Medium,66,48,44,52
237629,74,1,1685,26.581,186,Right,Medium,69,57,54,75
228368,63,1,1046,11.359,180,Right,High,74,49,49,60
176403,68,2,1028,11.903,176,Right,High,75,66,65,66
256970,71,1,1309,10,185,Left,High,72,63,64,75
247385,68,1,1179,11.903,175,Left,Medium,70,41,40,68
263300,62,1,1058,10.272,189,Right,Medium,64,28,25,31
252508,68,1,1215,10,178,Right,High,74,55,58,74
235022,67,1,1114,11.903,184,Right,Low,57,65,56,71
247150,73,1,1468,15.708,175,Right,High,83,51,48,76
230975,75,1,1540,31.474,175,Right,High,88,70,72,75
229488,68,1,1071,18.426,175,Right,Medium,68,59,60,65
223061,75,2,1432,21.688,65 in,Left,High,88,65,65,77
186347,75,2,1295,30.386,173,Left,High,77,69,66,72
227234,76,2,1757,26.581,73 in,Right,Medium,59,54,42,64
193849,74,1,1288,36.366,71 in,Left,High,57,70,68,65
244266,67,1,1100,10,181,Right,Medium,78,61,61,72
252715,62,1,1040,10.815,185,Right,Medium,73,61,61,63
212616,82,1,3525,46.695,180,Right,High,78,76,76,81
122066,64,1,1013,10.109,190,Left,Medium,31,69,72,40
191980,62,1,1019,10.815,182,Left,Medium,68,52,47,59
220184,65,1,1064,10.815,171,Right,Medium,73,64,64,65
259325,61,1,1046,10.815,69 in,Left,High,68,56,57,69
225629,71,1,1187,16.252,178,Left,Medium,65,66,62,71
213687,63,1,1033,10.815,71 in,Right,Medium,69,43,40,55
258261,59,1,1016,10,172,Right,Medium,74,52,49,55
252095,69,1,1208,11.903,184,Right,Medium,54,33,24,54
257204,72,1,1345,23.319,184,Right,Medium,63,46,39,57
189451,67,1,1046,10,190,Left,High,39,70,70,66
262057,61,1,1064,10,170,Left,Medium,72,58,55,65
263953,62,1,1078,13.534,167,Right,Medium,75,55,55,67
243445,64,1,1093,11.903,72 in,Right,Medium,76,62,68,65
236695,71,1,1266,12.99,182,Right,Medium,66,68,64,67
261496,59,1,1035,10.815,185,Left,Low,67,29,22,24
211093,75,1,1396,35.823,174,Left,High,80,70,71,75
230136,67,1,1107,14.621,69 in,Left,Medium,71,54,51,64
257262,52,1,1013,10.19,182,Right,Medium,67,52,55,48
242366,62,1,1060,12.446,73 in,Right,Medium,65,45,41,56
209937,72,1,1122,17.883,70 in,Right,High,73,60,62,71
199283,69,1,1071,12.99,175,Left,High,76,64,63,67
256563,54,1,1019,10,67 in,Right,Medium,61,33,29,45
205972,63,1,1035,10,73 in,Right,High,73,61,63,61
202456,66,1,1049,11.903,188,Right,High,53,67,70,57
245863,61,1,1049,10.027,70 in,Right,Medium,66,33,34,65
263994,52,1,1012,10,72 in,Right,Medium,68,42,38,44
235173,77,1,2442,17.883,75 in,Right,Medium,66,65,61,70
252143,75,1,1901,15.708,169,Left,High,80,66,67,79
252835,56,1,1022,10.217,74 in,Right,Medium,68,24,24,42
212107,72,1,1078,16.252,191,Right,High,65,73,75,67
238988,73,1,1280,21.144,180,Left,Medium,86,60,54,67
251646,61,1,1030,10.163,70 in,Right,High,78,52,50,68
207616,75,1,1540,33.648,191,Right,Medium,69,31,30,66
214491,76,1,1504,33.104,70 in,Left,High,92,68,67,79
242449,63,1,1069,10.136,180,Right,Medium,73,50,51,63
255658,56,1,1013,10.272,68 in,Left,Medium,66,49,53,59
190457,65,1,1049,10.815,73 in,Right,Medium,79,61,59,65
252246,54,1,1016,10,184,Right,Medium,66,37,36,38
183129,75,2,1273,27.668,73 in,Left,Low,51,51,44,50
211900,63,1,1028,10.272,75 in,Left,Medium,54,27,19,29
238692,67,1,1051,12.446,191,Right,Low,38,50,43,50
252238,73,1,1504,11.903,66 in,Right,High,79,66,64,79
204024,79,2,2045,26.581,191,Right,High,44,50,48,72
230027,69,1,1114,11.903,68 in,Right,Medium,69,66,59,66
255398,66,1,1150,10.815,70 in,Right,Medium,70,65,70,63
236773,72,1,1194,18.97,67 in,Right,Medium,74,54,50,60
220291,68,1,1093,11.903,70 in,Left,High,73,43,37,62
236611,62,1,1044,11.359,190,Right,Medium,61,61,61,56
240351,68,1,1122,14.621,176,Left,Medium,71,58,57,71
252959,60,1,1044,11.903,183,Right,Medium,86,52,53,63
223596,74,1,1396,16.795,74 in,Right,High,70,77,82,69
243862,68,1,1114,12.446,67 in,Left,Medium,73,57,54,65
208421,82,3,3850,46.695,72 in,Left,Medium,71,78,76,80
194791,56,1,1009,10.027,67 in,Right,High,72,54,51,58
257020,64,1,1066,10.815,74 in,Right,Medium,79,59,62,66
181236,72,1,1136,15.708,71 in,Left,High,66,69,69,72
231488,64,1,1040,10.815,183,Right,Medium,81,60,58,69
251757,64,1,1093,12.446,70 in,Left,Medium,75,59,60,67
251289,65,1,1107,11.359,73 in,Right,Medium,65,34,24,36
247328,75,1,1901,19.514,69 in,Right,Medium,66,70,70,72
245743,57,1,1024,10,72 in,Left,Medium,73,31,25,50
176266,81,3,1648,44.521,70 in,Right,Low,56,65,62,74
232894,69,1,1107,12.99,186,Right,Medium,66,24,15,34
251026,67,1,1071,11.903,69 in,Right,High,69,61,58,62
257944,56,1,1021,10.272,76 in,Right,Medium,66,53,56,54
204684,71,1,1129,14.621,187,Right,Medium,72,70,68,71
236842,67,1,1179,11.903,170,Right,Medium,83,63,63,66
226166,81,2,3489,45.064,74 in,Right,Medium,80,49,40,73
252080,62,1,1060,10.815,190,Right,Medium,54,42,32,54
248803,60,1,1040,10.272,180,Right,Medium,65,46,42,60
261249,65,1,1129,12.99,178,Right,High,65,53,50,70
236279,65,1,1067,10.815,75 in,Right,Medium,52,43,39,51
211315,67,1,1071,11.903,187,Right,Low,60,27,16,40
257239,59,1,1040,11.359,185,Right,Medium,59,29,21,37
225915,69,1,1150,14.077,174,Right,High,74,68,70,65
240605,63,1,1071,10.815,175,Right,High,71,56,53,62
244393,76,1,2081,30.93,181,Right,Medium,59,57,54,75
236748,59,1,1013,10.136,179,Left,Medium,64,33,31,49
200953,63,1,1033,10.082,181,Right,Medium,78,61,59,62
259241,63,1,1069,11.359,76 in,Left,Medium,64,63,63,59
235407,73,1,1432,20.057,180,Right,Medium,69,62,66,75
184664,66,1,1016,10.815,74 in,Right,Low,34,46,44,48
246033,70,1,1244,11.903,179,Right,Medium,61,57,55,63
245512,51,1,1008,10.272,167,Right,Medium,68,48,49,53
244093,59,1,1024,10.082,179,Right,Medium,72,53,53,63
264518,51,1,1010,10,70 in,Right,Medium,68,40,34,46
232162,69,1,1107,12.446,179,Right,Medium,70,46,38,67
255174,63,1,1078,10.815,69 in,Left,High,67,55,55,68
199047,57,1,1008,10,184,Right,High,53,55,57,54
239267,68,1,1215,12.99,175,Left,High,88,62,65,73
238749,66,1,1129,13.534,188,Right,Low,36,30,28,44
221926,65,1,1058,13.534,68 in,Left,Medium,75,59,60,65
254736,58,1,1019,10,178,Left,Medium,62,54,51,60
261501,55,1,1011,10,174,Right,Medium,63,46,46,49
248092,67,1,1049,11.903,185,Right,Medium,69,32,33,38
204626,65,1,1049,10.272,180,Left,High,75,45,39,61
240683,71,1,1302,13.534,178,Right,Medium,75,57,54,72
223080,64,1,1035,10.815,184,Left,High,80,46,47,59
244205,70,1,1259,14.077,172,Left,Medium,71,71,72,75
193469,78,2,1648,22.775,185,Left,Medium,50,42,37,53
213620,73,1,1237,14.077,69 in,Right,Medium,78,73,75,71
221600,72,1,1215,25.494,185,Left,Medium,53,37,30,64
220440,82,2,3705,88.555,186,Left,Medium,72,45,39,57
259204,61,1,1035,11.359,70 in,Left,Medium,70,59,57,63
207463,61,1,1028,10.815,183,Right,High,76,59,59,61
203344,70,1,1093,17.339,72 in,Right,Medium,64,74,79,73
150995,61,1,1006,12.446,74 in,Right,Low,65,38,30,47
251283,55,1,1021,10.815,70 in,Left,Medium,59,40,33,49
263294,52,1,1017,10,175,Right,High,67,49,49,56
247753,59,1,1035,10.272,183,Right,Medium,54,59,60,56
262236,62,1,1057,10.19,190,Right,Medium,59,43,39,58
230455,65,1,1060,11.903,74 in,Right,Medium,74,56,51,73
234741,73,1,1432,18.97,169,Right,High,69,67,63,68
259823,64,1,1060,10,183,Right,Medium,62,64,68,56
157528,68,1,1040,11.903,180,Right,Medium,62,67,65,69
189492,64,1,1035,10.815,173,Right,Medium,55,57,55,61
261888,49,1,1005,10.815,187,Right,High,58,49,50,45
252644,52,1,1012,10.272,68 in,Right,High,61,44,42,50
243477,69,1,1230,12.446,186,Left,High,60,69,68,60
264232,52,1,1011,10.815,186,Right,Medium,59,25,21,32
236546,58,1,1028,10,182,Right,High,71,57,58,53
224870,64,1,1042,12.99,70 in,Left,High,68,65,66,61
223918,60,1,1019,10.815,71 in,Right,Medium,66,48,43,58
253242,68,1,1086,10,180,Left,Medium,71,64,69,65
188802,71,2,1069,24.406,180,Left,Medium,55,48,34,63
240734,66,1,1136,11.359,187,Left,High,60,58,58,66
192479,62,1,1028,10.815,68 in,Left,High,70,55,51,66
235955,66,1,1136,12.99,170,Left,Medium,75,54,55,73
257145,63,1,1069,10.272,170,Right,High,88,50,52,66
238509,63,1,1078,10.815,72 in,Right,Medium,73,63,64,62
215970,70,1,1129,22.775,181,Left,High,86,57,54,68
259727,51,1,1009,10,173,Right,Medium,77,47,48,50
248780,66,1,1049,10.815,73 in,Left,Medium,79,28,26,53
213010,69,1,1086,11.903,69 in,Right,Medium,79,54,50,65
262500,66,1,1129,10.815,176,Right,Medium,64,50,51,54
264573,57,1,1028,10,165,Right,Medium,64,59,60,60
230658,83,2,4391,58.655,67 in,Right,Medium,69,67,59,87
224376,70,1,1143,12.446,191,Right,Medium,31,37,33,41
210820,62,1,1031,10.136,189,Right,Medium,55,51,50,48
233790,69,1,1114,12.99,73 in,Right,Medium,76,35,22,54
263647,60,1,1033,11.903,75 in,Right,Medium,63,29,23,36
245228,73,1,1504,20.057,186,Right,High,86,72,77,72
228790,70,1,1172,12.446,68 in,Right,High,82,37,36,66
255123,64,1,1042,10,186,Right,Low,52,30,30,31
260926,63,1,1078,11.903,183,Right,Medium,79,61,65,66
226152,68,1,1122,12.446,169,Right,High,72,58,53,74
239778,70,1,1266,21.688,74 in,Right,High,68,70,66,68
260027,63,1,1071,10,72 in,Left,Medium,72,26,27,46
263480,61,1,1057,10,190,Right,Medium,55,24,20,28
232861,69,1,1086,13.534,176,Right,High,64,62,66,65
201042,78,2,1901,35.823,72 in,Right,Medium,74,62,60,75
263963,57,1,1022,11.903,70 in,Right,Medium,69,33,30,52
231360,71,1,1179,14.621,175,Right,Medium,68,57,51,67
169619,61,1,1005,10.815,185,Right,Medium,51,45,41,49
255224,58,1,1031,10.272,71 in,Right,High,50,61,65,55
237916,66,1,1136,15.165,173,Right,High,67,62,59,72
210214,71,1,1129,13.534,180,Right,Medium,57,67,68,70
211954,67,1,1062,13.534,188,Right,Medium,67,63,53,58
262066,58,1,1031,10,183,Right,High,77,46,50,60
259176,61,1,1044,11.359,68 in,Right,High,86,50,50,60
243622,65,1,1033,10.815,193,Right,High,54,24,20,50
264099,58,1,1033,10.272,179,Right,Medium,73,31,30,58
193746,64,1,1035,11.903,176,Right,Medium,80,45,39,70
179537,64,1,1039,10.272,71 in,Right,Medium,47,61,53,63
263227,58,1,1035,10,185,Right,Medium,68,51,40,64
240040,68,1,1194,11.359,177,Left,High,82,63,64,69
221095,67,1,1100,11.359,175,Right,Medium,85,68,68,66
255615,47,1,1006,10.272,189,Right,Low,54,31,26,40
243995,67,1,1150,10.815,75 in,Right,Medium,65,48,38,54
205114,75,1,1252,15.165,169,Right,Medium,78,69,65,81
205693,80,3,2767,22.232,75 in,Right,High,66,79,82,74
239998,61,1,1053,10.815,75 in,Right,Medium,47,31,24,33
232614,65,1,1051,10.815,186,Right,Medium,48,65,66,54
214408,73,1,1230,22.775,187,Right,Medium,62,40,35,55
197813,72,2,1136,25.494,184,Right,Medium,56,67,64,71
251313,64,1,1066,11.903,179,Right,High,65,58,51,66
215570,69,1,1114,13.534,184,Right,Medium,63,32,29,57
204350,69,1,1100,16.795,179,Right,Medium,71,72,69,78
242056,55,1,1019,10.136,72 in,Right,Medium,63,41,36,53
263156,62,1,1053,10.815,169,Right,High,65,40,33,64
224590,70,1,1150,11.903,186,Left,High,60,64,60,66
263929,68,1,1201,12.446,182,Left,High,82,61,60,73
262505,68,1,1187,11.359,71 in,Left,Medium,68,36,31,42
205566,76,2,1504,24.95,171,Left,High,82,66,59,76
193116,76,3,1360,21.144,187,Right,Low,47,61,55,66
173306,78,2,1360,32.017,71 in,Right,Medium,77,64,57,75
262328,54,1,1013,10,175,Right,Medium,55,32,26,42
260853,54,1,1017,10,178,Left,Medium,62,34,32,53
210411,81,1,3200,20.057,68 in,Right,High,78,69,68,86
237220,62,1,1031,10.272,70 in,Right,Medium,75,42,39,60
246006,70,1,1215,11.903,67 in,Right,High,69,54,56,64
230241,77,1,1685,29.299,65 in,Left,Medium,79,62,58,69
214783,62,1,1014,10.109,182,Right,Medium,61,36,20,40
257438,57,1,1030,11.903,175,Right,Medium,77,58,61,58
237875,63,1,1071,10.272,180,Right,Low,51,32,27,31
261425,52,1,1006,10,170,Right,Medium,61,43,43,49
215647,66,1,1060,10.815,74 in,Right,High,53,65,68,56
260087,61,1,1051,10,182,Right,Medium,65,42,44,58
263250,60,1,1039,12.446,182,Right,Medium,70,36,33,54
239666,61,1,1053,11.903,73 in,Right,Medium,67,61,65,66
239210,65,1,1066,10.815,186,Right,Low,48,44,39,49
255265,66,1,1093,10,66 in,Left,Medium,76,58,57,70
264023,51,1,1008,10,69 in,Right,Medium,72,32,31,41
256097,65,1,1114,11.359,72 in,Left,Medium,71,27,26,49
260208,64,1,1040,10,67 in,Right,Medium,65,60,58,65
219852,70,1,1129,15.165,191,Right,Low,66,32,12,60
212778,72,1,1143,12.446,188,Left,Low,64,39,34,57
254470,71,1,1280,27.124,177,Left,High,77,42,39,67
234207,64,1,1093,10.245,69 in,Left,High,84,37,38,63
166847,60,1,1010,10.109,185,Left,Medium,43,57,54,60
242980,62,1,1064,15.165,185,Right,High,68,54,53,65
185195,75,2,1331,28.212,183,Right,Low,67,77,78,75
254860,66,1,1158,13.534,67 in,Left,Medium,80,60,63,68
245906,61,1,1057,12.99,185,Right,Medium,64,29,21,44
253218,70,1,1100,10.054,70 in,Right,High,59,42,41,44
199236,71,1,1114,13.534,177,Left,Medium,87,49,38,68
210406,81,3,3128,49.957,71 in,Right,Medium,81,75,72,87
264631,58,1,1033,10,176,Right,Medium,81,60,61,61
263899,51,1,1010,10,68 in,Right,Medium,63,42,42,57
240917,51,1,1008,10.272,178,Right,Medium,62,42,33,48
248592,55,1,1021,10.136,171,Right,Medium,73,34,28,48
235548,62,1,1024,11.359,180,Left,Medium,67,38,35,60
256267,60,1,1026,10.815,181,Right,Medium,53,43,41,54
248040,65,1,,,183,Right,Medium,71,47,42,54
179840,67,1,1033,11.359,193,Right,Medium,54,26,19,22
228946,73,1,1432,21.688,185,Right,Medium,77,66,64,76
215178,68,1,1086,11.359,73 in,Right,Medium,56,31,29,44
259032,58,1,1037,10.19,76 in,Right,Medium,69,52,48,59
264005,54,1,1019,10,175,Right,High,65,48,48,56
183130,76,2,1432,51.044,175,Right,High,70,68,67,77
244383,74,1,1360,10.19,187,Right,Medium,65,23,17,31
234286,64,1,1062,10,69 in,Right,High,77,58,60,70
235579,60,1,1016,10.815,72 in,Left,Medium,54,35,25,58
230074,72,1,1215,17.339,181,Right,Medium,63,37,32,68
239672,60,1,1046,10.136,70 in,Right,Medium,71,56,58,63
221660,80,2,2659,66.81,74 in,Right,Medium,63,51,42,70
248765,65,1,1114,10.815,182,Right,High,93,50,58,74
257221,54,1,1017,10.272,71 in,Left,Medium,72,42,42,61
201303,75,1,1396,21.144,70 in,Right,High,85,65,64,80
234834,66,1,1078,10,189,Right,Medium,65,66,69,64
199737,73,1,1208,16.795,179,Right,High,77,75,72,75
231077,74,1,1266,17.339,178,Left,High,75,67,64,68
186954,68,2,1069,13.534,71 in,Right,Medium,72,68,66,64
257812,52,1,1012,10.163,182,Right,Medium,66,35,30,37
234804,61,1,1049,10.136,187,Right,Medium,67,37,29,43
198394,70,1,1114,10.109,181,Left,Low,75,67,68,70
228610,59,1,1013,11.359,173,Right,Medium,68,35,30,54
215234,64,1,1030,11.359,179,Right,Medium,68,32,29,64
223369,64,1,1044,10.082,173,Right,Medium,69,38,40,54
155334,65,1,1013,10.272,186,Right,Medium,53,38,33,46
259680,62,1,,,188,Right,Medium,68,51,50,67
208597,69,1,,,190,Right,Medium,45,24,19,51
204761,69,1,1086,16.795,191,Right,Medium,61,39,37,32
243245,75,1,1901,14.077,175,Right,Medium,71,70,68,78
254905,61,1,1057,14.077,175,Left,High,73,60,62,60
231535,64,1,1055,10.815,189,Left,Medium,69,45,42,61
257965,54,1,1017,11.903,72 in,Right,Medium,51,55,60,47
227835,69,1,1143,12.99,175,Right,Low,77,54,49,73
241058,65,1,1053,10.815,70 in,Right,High,66,64,63,65
171897,78,3,1345,22.775,67 in,Left,Medium,64,68,64,78
236582,64,1,1035,10.815,71 in,Right,High,69,48,38,53
237183,74,1,1396,18.426,186,Left,High,75,74,68,78
259645,56,1,1009,10,70 in,Right,Low,67,40,40,47
220620,71,1,1143,14.621,183,Right,High,81,48,47,68
237101,62,1,1062,10.272,185,Right,Medium,69,48,35,63
239980,68,1,1093,12.99,181,Right,High,71,59,52,55
262401,60,1,1035,10.272,181,Right,Medium,62,62,66,69
247245,61,1,1057,11.359,176,Right,Medium,62,56,55,63
257612,67,1,1172,11.903,72 in,Right,Medium,72,64,67,65
260270,66,1,1064,10,70 in,Left,High,65,64,68,65
235975,58,1,1019,12.99,67 in,Right,Medium,73,57,62,62
255779,66,1,1129,10.815,69 in,Right,Medium,79,47,52,57
247679,63,1,1078,10.272,193,Right,Medium,76,63,65,65
257406,66,1,1129,12.446,68 in,Right,Medium,79,37,31,61
213160,78,1,2081,37.454,72 in,Right,High,76,64,62,77
192073,74,2,1288,17.339,70 in,Left,Medium,63,69,65,74
211019,63,1,1033,10.815,180,Right,Medium,66,57,57,63
240725,61,1,1049,10.272,72 in,Right,Medium,55,32,21,53
264354,52,1,1013,10.272,68 in,Right,Medium,71,47,44,57
